rank,peak,all time peak,actual gross,adjusted gross,artist,tour title,year,shows,average gross
1,1.0,2.0,780000000.0,780000000.0,Taylor Swift,The Eras Tour,2015,56,13928571.0
2,1.0,7.0,579800000.0,579800000.0,Beyoncé,Renaissance World Tour,2023,56,10353571.0
3,1.0,2.0,411000000.0,560622615.0,Madonna,Sticky & Sweet Tour,2015,85,4835294.0
4,2.0,10.0,397300000.0,454751555.0,Pink,Beautiful Trauma World Tour,2015,156,2546795.0
5,2.0,0.0,345675146.0,402844849.0,Taylor Swift,Reputation Stadium Tour,2018,53,6522173.0
6,2.0,10.0,305158363.0,388978496.0,Madonna,The MDNA Tour,2012,88,3467709.0
7,2.0,0.0,280000000.0,381932682.0,Celine Dion,Taking Chances World Tour,2015,131,2137405.0
7,0.0,0.0,257600000.0,257600000.0,Pink,Summer Carnival,2015,41,6282927.0
9,0.0,0.0,256084556.0,312258401.0,Beyoncé,The Formation World Tour,2016,49,5226215.0
10,0.0,0.0,250400000.0,309141878.0,Taylor Swift,The 1989 World Tour,2015,85,2945882.0
11,0.0,0.0,229100000.0,283202896.0,Beyoncé,The Mrs. Carter Show World Tour,2015,132,1735606.0
12,0.0,14.0,227400000.0,295301479.0,Lady Gaga,The Monster Ball Tour,2015,203,1118227.0
13,0.0,0.0,204000000.0,251856802.0,Katy Perry,Prismatic World Tour,2015,151,1350993.0
14,1.0,0.0,200000000.0,299676265.0,Cher,Living Proof: The Farewell Tour,2015,325,615385.0
15,2.0,0.0,194000000.0,281617035.0,Madonna,Confessions Tour,2006,60,3233333.0
16,0.0,0.0,184000000.0,227452347.0,Pink,The Truth About Love Tour,2015,142,1295775.0
17,0.0,0.0,170000000.0,213568571.0,Lady Gaga,Born This Way Ball,2015,98,1734694.0
18,0.0,0.0,169800000.0,207046755.0,Madonna,Rebel Heart Tour,2015,82,2070732.0
19,0.0,0.0,167700000.0,204486106.0,Adele,Adele Live 2016,2015,121,1385950.0
20,0.0,0.0,150000000.0,185423109.0,Taylor Swift,The Red Tour,2015,86,1744186.0
